song_name,link
Girl At Home (Taylor’s Version),https://genius.com/Taylor-swift-girl-at-home-taylors-version-lyrics
1989 [Liner Notes],https://genius.com/Taylor-swift-1989-liner-notes-annotated
Style (Taylor’s Version),https://genius.com/Taylor-swift-style-taylors-version-lyrics
Red [Liner Notes],https://genius.com/Taylor-swift-red-liner-notes-annotated
A Message From Taylor,https://genius.com/Taylor-swift-a-message-from-taylor-annotated
My Boy Only Breaks His Favorite Toys (First Draft Phone Memo),https://genius.com/Taylor-swift-my-boy-only-breaks-his-favorite-toys-first-draft-phone-memo-lyrics
Today Was a Fairytale (Taylor’s Version),https://genius.com/Taylor-swift-today-was-a-fairytale-taylors-version-lyrics
Two Is Better Than One,https://genius.com/Boys-like-girls-two-is-better-than-one-lyrics
Starlight (Taylor’s Version),https://genius.com/Taylor-swift-starlight-taylors-version-lyrics
Sparks Fly (Original Version),https://genius.com/Taylor-swift-sparks-fly-original-version-lyrics
Eyes Open,https://genius.com/Taylor-swift-eyes-open-lyrics
You’re Not Sorry (Taylor’s Version),https://genius.com/Taylor-swift-youre-not-sorry-taylors-version-lyrics
Tell Me Why (Taylor’s Version),https://genius.com/Taylor-swift-tell-me-why-taylors-version-lyrics
The Joker And The Queen (Remix),https://genius.com/Ed-sheeran-the-joker-and-the-queen-remix-lyrics
SuperStar,https://genius.com/Taylor-swift-superstar-lyrics
Jump Then Fall (Taylor’s Version),https://genius.com/Taylor-swift-jump-then-fall-taylors-version-lyrics
Come In With the Rain,https://genius.com/Taylor-swift-come-in-with-the-rain-lyrics
